CASC,Long March 3B/E | Zhongxing-2D (Chinasat-2D),StatusActive,29.15 ,Success,2019,Jan,Thu,10,1031.0,China
CASC,Long March 2D/YZ-3 | Hongyan-1,StatusActive,nan,Success,2018,Dec,Sat,29,482.0,China
Roscosmos,Soyuz 2.1a/Fregat | Kanopus-V No. 5-6 & Rideshares,StatusActive,48.5 ,Success,2018,Dec,Thu,27,127.0,Russia
CASC,Long March 3C/E | TJS-3,StatusActive,nan,Success,2018,Dec,Mon,24,1013.0,China
SpaceX,Falcon 9 Block 5 | GPS III SV01,StatusActive,50.0 ,Success,2018,Dec,Sun,23,831.0,USA
CASC,Long March 11 | Hongyun-1,StatusActive,5.3 ,Success,2018,Dec,Fri,21,1431.0,China
VKS RF,Proton-M/Briz-M | Blagovest No.13L,StatusActive,65.0 ,Success,2018,Dec,Fri,21,20.0,Kazakhstan
Arianespace,Soyuz ST-A/Fregat-M | CSO 1,StatusActive,nan,Success,2018,Dec,Wed,19,997.0,France
ISRO,GSLV Mk II | GSAT-7A,StatusActive,47.0 ,Success,2018,Dec,Wed,19,640.0,India
Rocket Lab,Electron/Curie | This one's for Pickering,StatusActive,7.5 ,Success,2018,Dec,Sun,16,393.0,New Zealand
CASC,Long March 3B/E | Chang'e-4,StatusActive,29.15 ,Success,2018,Dec,Fri,7,1103.0,China
CASC,"Long March 2D | SaudiSAT 5A, & 5B and Others",StatusActive,29.75 ,Success,2018,Dec,Fri,7,252.0,China
SpaceX,Falcon 9 Block 5 | CRS-16,StatusActive,50.0 ,Success,2018,Dec,Wed,5,1096.0,USA
Arianespace,Ariane 5 ECA | GSAT-11 & GEO-KOMPSAT 2A,StatusActive,200.0 ,Success,2018,Dec,Tue,4,1237.0,France
SpaceX,Falcon 9 Block 5 | Spaceflight SSO-A,StatusActive,50.0 ,Success,2018,Dec,Mon,3,1114.0,USA
Roscosmos,Soyuz FG | Soyuz MS-11 (57S),StatusRetired,nan,Success,2018,Dec,Mon,3,691.0,Kazakhstan
VKS RF,Rokot/Briz KM | Cosmos 2530 to 2532,StatusRetired,41.8 ,Success,2018,Nov,Fri,30,147.0,Russia
ISRO,PSLV-CA | HySIS,StatusActive,21.0 ,Success,2018,Nov,Thu,29,267.0,India
Arianespace,Vega | Mohammed VI-B,StatusActive,37.0 ,Success,2018,Nov,Wed,21,102.0,France
CASC,"Long March 2D | Shiyan-6, Jiading-1 (OKW-01), & Others",StatusActive,29.75 ,Success,2018,Nov,Mon,19,1420.0,China
CASC,Long March 3B/YZ-1 | BeiDou-3 M17 & M18,StatusActive,nan,Success,2018,Nov,Sun,18,1087.0,China
Northrop,Antares 230 | CRS NG-10,StatusRetired,85.0 ,Success,2018,Nov,Sat,17,541.0,USA
Roscosmos,Soyuz FG | Progress MS-10 (71P),StatusRetired,nan,Success,2018,Nov,Fri,16,1094.0,Kazakhstan
SpaceX,Falcon 9 Block 5 | Es'hail 2,StatusActive,50.0 ,Success,2018,Nov,Thu,15,1246.0,USA
ISRO,GSLV Mk III | GSAT 29,StatusActive,62.0 ,Success,2018,Nov,Wed,14,698.0,India
Rocket Lab,Electron/Curie | It's Business Time,StatusActive,7.5 ,Success,2018,Nov,Sun,11,230.0,New Zealand
Arianespace,Soyuz ST-B/Fregat-M | MetOp C,StatusActive,nan,Success,2018,Nov,Wed,7,47.0,France
VKS RF,Soyuz 2.1b/Fregat | GLONASS-M No.54S,StatusActive,48.5 ,Success,2018,Nov,Sat,3,1217.0,Russia
CASC,Long March 3B/E | Beidou-3 G1,StatusActive,29.15 ,Success,2018,Nov,Thu,1,957.0,China
MHI,"H-IIA 202 | Ibuki 2, KhalifaSat & Others",StatusActive,90.0 ,Success,2018,Oct,Mon,29,248.0,Japan
CASC,"Long March 2C | CFOSAT, Zhaojin-1, Hongyan-1, & Others",StatusActive,30.8 ,Success,2018,Oct,Mon,29,47.0,China
Landspace,ZhuQue-1 | CCTV Future-1,StatusRetired,nan,Failure,2018,Oct,Sat,27,480.0,China
Roscosmos,Soyuz 2.1b | Lotus-S No.4,StatusActive,35.0 ,Success,2018,Oct,Thu,25,15.0,Russia
CASC,Long March 4B | Haiyang-2B,StatusActive,64.68 ,Success,2018,Oct,Wed,24,1377.0,China
Arianespace,Ariane 5 ECA | BepiColombo,StatusActive,200.0 ,Success,2018,Oct,Sat,20,105.0,France
ULA,Atlas V 551 | AEHF-4,StatusActive,153.0 ,Success,2018,Oct,Wed,17,255.0,USA
